seriesCandidate,code,canonicalCode,displayCode,sourceMeaningEn,normalizedMeaningDraftRu,categoryCandidate,sourceManualId,sourceManualTitle,sourceDocument,sourcePath,sourceSection,sourcePage,sourceContext,confidence,alreadyInAnyGreeRuntime,existingRuntimePath,overlapSeries,actionRecommendation,reason
GMV X,d1,D1,d1,Indoor PCB is poor,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d1 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d1.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d1.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d2,D2,d2,Malfunction of lower water temperature sensor of water tank,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d2 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d2.json,GMV6,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d3,D3,d3,Malfunction of ambient temperature sensor,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d3 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d3.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d3.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d4,D4,d4,Malfunction of entry-tube temperature sensor,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d4 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d4.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d4.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d5,D5,d5,Malfunction of mid-tube temperature sensor,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d5 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d5.json,GMV6,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d6,D6,d6,Malfunction of exit-tube temperature sensor,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d6 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d6.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d6.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d7,D7,d7,Malfunction of humidity sensor,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d7 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d7.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d7.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d8,D8,d8,Malfunction of water temperature sensor,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d8 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d8.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d8.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,d9,D9,d9,Malfunction of jumper cap,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor d9 / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d9.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d9.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
GMV X,dA,DA,dA,Web address of IDU is abnormal,????????? ??????????? ?????,indoor,gree-gmv-x-service-manual-2022-09,Gree GMV X DC Inverter VRF Units Service Manual,GC202209-I,"artifacts/manual-intake/sources/gree/JF00305173, Outlet T1R410A50 & 60HzGMVX Heat Pump GMV Service Manual, A.3.pdf",Chapter 3 Faults / Error Indication,PDF page 74 / manual page 72,Chapter 3 Faults / Error Indication / Indoor dA / PDF page 74 / manual page 72,high,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/da.json;data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/da.json,GMV6;GMV Mini,ready-for-import,GMV X service manual GC202209-I confirms this code and category; separate GMV X runtime card created.
