"Code","CodeKey","WebsiteMeaning","ED24GEC9Decision","ED24GEC9Reason","ExistingRuntime","ExistingRuntimePaths","ExistingRuntimeSeries","ManualHits","GMV6Hits","MiniHits","GmvWHits","GmvtLegacyHits","GenericGmvHits","UnknownSeriesHits","MatrixSuggestedDecision","TopEvidenceScore","TopEvidenceSeries","TopEvidenceManualId","TopEvidenceLine","TrackingStatus","RuntimeTarget","NextAction","TrackingReason"
"by","BY","Water outlet temperature wrap fault","needs-human-source-review","Clear source meaning, but card is GMV-W water heat pump VRF and GMV6 applicability is not confirmed; code spelling is visually unusual.","no","","","571","46","29","101","0","60","335","candidate-gmv6","95","GMV6","gree-gmv6-service-manual-2020-09","actual value divided by 10.","BlockedNoiseOrVisualAmbiguity","","Keep blocked until exact manual table row for code by is found.","Search hits are noisy common-word matches; current evidence does not confirm website meaning for GMV6."
"E5","E5","Temperature of radiating fin is too high / Overcurrent Protection / compressor overcurrent protection","needs-human-source-review","Source card has conflicting visible meanings and older GMVT context, so a safe normalized GMV6 answer cannot be created without human source resolution.","no","","","19","0","0","2","0","2","15","candidate-gmv-w","90","GMV-W","gree-versati-iii-split-heat-pump","E5 is displayed on","NeedGmvWRuntimeStructure","GMV-W / Versati","Create GMV-W/Versati runtime structure and package before adding this code.","Manual evidence points to GMV-W/Versati, but runtime has no GMV-W package yet."
"E6","E6","Communication error","needs-human-source-review","Card meaning is clear, but it is a broad communication-error flow from older Digital Multi VRF material and does not clearly map to a GMV6 runtime category.","no","","","32","0","1","12","0","0","19","candidate-mini","90","GMV-W","gree-versati-iii-split-heat-pump","14                                                                      IDU Com.                   E6","ReadyAddMini","GMV Mini","Review top evidence, then add GMV Mini runtime if meaning is exact.","GMV Mini manual hit exists."
"E7","E7","Mode conflict","needs-human-source-review","Table-only GMVT/wired-controller card gives a meaning, but no GMV6 applicability or safe diagnostic procedure is confirmed.","no","","","7","0","0","0","0","0","7","manual-hit-unknown-series-review","85","Unknown","gree-multi-split-service-manual","Flash 7 times         /                /           E7       E7       Indoor","NeedSeriesDecision","","Review source series manually; do not add to GMV6 by default.","Manual evidence exists, but series is generic/legacy/unknown or conflicting."
"E9","E9","Water-full protection (Cassette)","needs-human-source-review","Shared Eb/E9 cassette water-full card conflicts with the proposed outdoor GMV6 path and needs source review before runtime use.","no","","","10","0","0","0","0","0","10","manual-hit-unknown-series-review","85","Unknown","gree-u-match-gu50-160k-on-off-service-manual","Error display: IDU wired control and IDU receiver light board will display E9.","NeedSeriesDecision","","Review source series manually; do not add to GMV6 by default.","Manual evidence exists, but series is generic/legacy/unknown or conflicting."
"eA","EA","Oil solenoid valve protection","needs-human-source-review","Tiny table-only card shows uppercase EA while inventory code is eA; casing and GMV6 applicability need human confirmation.","no","","","8","0","0","0","0","0","8","manual-hit-unknown-series-review","65","Unknown","gree-screw-chiller-service-manual-russian-filename","eA        Shell-and-tube pressure sensor error            H3              Motor over temperature protection","NeedSeriesDecision","","Review source series manually; do not add to GMV6 by default.","Manual evidence exists, but series is generic/legacy/unknown or conflicting."
"Eb","EB","Water-full protection (Cassette)","needs-human-source-review","Shared Eb/E9 cassette water-full card conflicts with the proposed outdoor GMV6 path and needs source review before runtime use.","no","","","0","0","0","0","0","0","0","no-manual-hit","","","","","BlockedNoManualEvidence","","Keep in review until a matching service manual source is found.","No manual hit found in current indexed PDF manuals."
"EE","EE","Remote lock","needs-human-source-review","Table-only GMVT controller card lacks GMV6 runtime category and diagnostic scope.","no","","","6","1","0","0","0","0","5","candidate-gmv6","85","Unknown","gree-multi-split-service-manual","Malfunction of memory chip                                          Hardware malfunction            EE","ReadyAddGmv6","GMV6","Review top evidence, then add GMV6 runtime if meaning is exact.","GMV6 manual hit exists."
"eH","EH","Auxiliary heater error","needs-human-source-review","Tiny table-only card shows uppercase EH while inventory code is eH; equipment side and GMV6 applicability are not clear.","no","","","73","0","0","12","0","30","31","candidate-gmv-w","70","GMV-W","gree-versati-iii-split-heat-pump","22                                                                    Auxi. heater 1               EH","NeedGmvWRuntimeStructure","GMV-W / Versati","Create GMV-W/Versati runtime structure and package before adding this code.","Manual evidence points to GMV-W/Versati, but runtime has no GMV-W package yet."
"F2","F2","Plate type heat exchanger inlet pipe temperature sensor fault","still-blocked","Source meaning is clear, but the card is GMV-W water heat pump VRF and does not confirm GMV6 applicability.","no","","","19","0","0","2","0","0","17","candidate-gmv-w","85","Unknown","gree-u-match-gu50-160k-on-off-service-manual","Error display: IDU wired control and IDU receiver light board will display: F2.","NeedGmvWRuntimeStructure","GMV-W / Versati","Create GMV-W/Versati runtime structure and package before adding this code.","Manual evidence points to GMV-W/Versati, but runtime has no GMV-W package yet."
