"code","canonicalCode","displayCode","sourceMeaningEn","normalizedMeaningDraftRu","categoryCandidate","sourceManualId","sourceManualTitle","sourceDocument","sourcePath","sourceSection","sourcePage","sourceContext","confidence","alreadyInGmv6Runtime","existingRuntimePath","actionRecommendation","reason"
"A0","A0","A0","Unit waiting for debugging","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a0.json","already-covered","Existing GMV6 runtime card retained."
"A2","A2","A2","Refrigerant recovery operation of after- sales","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a2.json","already-covered","Existing GMV6 runtime card retained."
"A3","A3","A3","Defrosting","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a3.json","already-covered","Existing GMV6 runtime card retained."
"A4","A4","A4","Oil-return","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a4.json","already-covered","Existing GMV6 runtime card retained."
"A6","A6","A6","Heat pump function setting","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a6.json","already-covered","Existing GMV6 runtime card retained."
"A7","A7","A7","Quiet mode setting","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a7.json","already-covered","Existing GMV6 runtime card retained."
"A8","A8","A8","Vacuum pump mode","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a8.json","already-covered","Existing GMV6 runtime card retained."
"Ab","AB","Ab","Emergency stop of operation","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ab.json","already-covered","Existing GMV6 runtime card retained."
"AC","AC","AC","Cooling","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ac.json","already-covered","Existing GMV6 runtime card retained."
"Ad","AD","Ad","Limit operation","Already covered in GMV6 runtime before ED-24GEC.13A","status","gree-gmv6-service-manual-2020-09","Service Manual for GMV6 v_2020.09","GC202001-I","artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf","Chapter 3 Faults / Error Indication","legacy inventory","Existing GMV6 runtime card before fresh manual delta stage.","high","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ad.json","already-covered","Existing GMV6 runtime card retained."
