seriesCandidate,code,canonicalCode,displayCode,sourceMeaningEn,normalizedMeaningDraftRu,categoryCandidate,sourceManualId,sourceManualTitle,sourceDocument,sourcePath,sourceSection,sourcePage,sourceContext,confidence,alreadyInAnyGreeRuntime,existingRuntimePath,overlapSeries,actionRecommendation,reason
GMV9 Flex,L0,L0,L0,Malfunction of IDU,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l0.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l0.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l0.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L1,L1,L1,Protection of indoor fan,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l1.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l1.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l1.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L2,L2,L2,Auxiliary heating protection,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l2.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l2.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l2.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L3,L3,L3,Water-full protection,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l3.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l3.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l3.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L4,L4,L4,Abnormal power supply for wired controller,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l4.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l4.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l4.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L5,L5,L5,Freeze prevention protection,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l5.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l5.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l5.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L6,L6,L6,Mode conflict,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l6.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l6.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l6.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L7,L7,L7,No main IDU,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l7.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l7.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l7.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L8,L8,L8,Power supply is insufficient,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l8.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l8.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l8.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,L9,L9,L9,"For single control over multiple units, number of IDU is inconsistent (HBS network)",,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l9.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/l9.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l9.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LA,LA,LA,"For single control over multiple units, IDU series is inconsistent (HBS network)",,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/la.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/la.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/la.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LH,LH,LH,Alarm due to bad air quality,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/lh.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/lh.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/lh.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LC,LC,LC,IDU is not matching with outdoor unit,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/lc.json; data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/lc.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/lc.json,GMV Mini; GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LL,LL,LL,Malfunction of water flow switch,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/ll.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/ll.json,GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LE,LE,LE,Rotation speed of EC DC water pump is abnormal,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/le.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/le.json,GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LF,LF,LF,Malfunction of shunt valve setting,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/lf.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/lf.json,GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LJ,LJ,LJ,Setting of functional DIP switch code is wrong,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/lj.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/lj.json,GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
GMV9 Flex,LP,LP,LP,Zero-crossing malfunction of PG motor,,indoor,gree-gmv9-flex-service-manual-2025-12,"JF00305819, export T3R410AGMV9 Flex GMV Service Manual (Middle East energy-inefficient), B .2.pdf",GC202512-I,"artifacts/manual-intake/sources/gree/JF00305819,_export_T3R410AGMV9_Flex_GMV_Service_Manual_Middle_East.pdf",Chapter 3 Faults / Error Indication,PDF page 67 / manual page 65,Indoor table,High,yes,data/equipment-diagnostics/error-knowledge/gree/gmv-x/indoor/lp.json; data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/lp.json,GMV X; GMV6,ready-for-import,Manual-confirmed GMV9 Flex code; overlap does not block separate-series import.
