code,canonicalCode,displayCode,sectionNumber,sectionTitle,sourceMeaningEn,normalizedMeaningRu,equipmentSide,proposedRuntimeFolder,sourceManualId,sourceManualPath,sourceLineOrContext,alreadyInRuntime,existingRuntimePath,action,reason
b1,b1,,2.17,Faults / Error Indication,Malfunction of outdoor ambient temperature sensor,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b1 / PDF page 75 / manual page 73; Troubleshooting 2.17 / PDF page 81 / manual page 79,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b1.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b2,b2,,2.18,Faults / Error Indication,Malfunction of defrosting temperature sensor 1,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b2 / PDF page 75 / manual page 73; Troubleshooting 2.18 / PDF page 82 / manual page 80,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b2.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b3,b3,,2.19,Faults / Error Indication,Malfunction of defrosting temperature sensor 2,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b3 / PDF page 75 / manual page 73; Troubleshooting 2.19 / PDF page 83 / manual page 81,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b3.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b4,b4,,2.20,Faults / Error Indication,Malfunction of liquid outlet temperature sensor of sub-cooler,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b4 / PDF page 75 / manual page 73; Troubleshooting 2.20 / PDF page 84 / manual page 82,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b4.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b5,b5,,2.21,Faults / Error Indication,Malfunction of gas outlet temperature sensor of sub-cooler,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b5 / PDF page 75 / manual page 73; Troubleshooting 2.21 / PDF page 85 / manual page 83,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b5.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b6,b6,,2.22,Faults / Error Indication,Malfunction of inlet tube temperature sensor of vapor liquid separator,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b6 / PDF page 75 / manual page 73; Troubleshooting 2.22 / PDF page 86 / manual page 84,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b6.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b7,b7,,2.23,Faults / Error Indication,Malfunction of exit tube temperature sensor of vapor liquid separator,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b7 / PDF page 75 / manual page 73; Troubleshooting 2.23 / PDF page 87 / manual page 85,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b7.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b8,b8,,2.24,Faults / Error Indication,Malfunction of outdoor humidity sensor,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b8 / PDF page 75 / manual page 73; Troubleshooting 2.24 / PDF page 88 / manual page 86,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b8.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
b9,b9,,2.25,Faults / Error Indication,Malfunction of gas temperature sensor of heat exchanger,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor b9 / PDF page 75 / manual page 73; Troubleshooting 2.25 / PDF page 89 / manual page 87,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/b9.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
bA,bA,,2.26,Faults / Error Indication,Malfunction of oil-return temperature sensor 1,неисправность датчика,outdoor,gmv6/outdoor,gree-gmv6-service-manual-2020-09,artifacts/manual-intake/sources/gree/Service Manual for GMV6 v_2020.09.pdf,глава 3 Faults / Error Indication / Outdoor bA / PDF page 75 / manual page 73; Troubleshooting 2.26 / PDF page 90 / manual page 88,yes,data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ba.json,keep-existing,GMV6 runtime JSON already exists for this manual-confirmed code.
