"seriesCandidate","code","canonicalCode","displayCode","sourceMeaningEn","normalizedMeaningDraftRu","categoryCandidate","sourceManualId","sourceManualTitle","sourcePath","sourceSection","sourceContext","confidence","alreadyInRuntime","existingRuntimePath","proposedRuntimeFolder","proposedPackageId","actionRecommendation","reason"
"X series","L0","L0","L0","Malfunction of IDU","Черновая нормализация требуется: Malfunction of IDU","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l0.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l0.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","L1","L1","L1","Protection of indoor fan","Черновая нормализация требуется: Protection of indoor fan","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l1.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l1.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","L3","L3","L3","Water-full protection","Черновая нормализация требуется: Water-full protection","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l3.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l3.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","L6","L6","L6","Mode conflict","Черновая нормализация требуется: Mode conflict","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/l6.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/l6.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d1","D1","d1","Indoor PCB is poor","Черновая нормализация требуется: Indoor PCB is poor","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d1.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d1.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d3","D3","d3","Malfunction of ambient temperature sensor","Черновая нормализация требуется: Malfunction of ambient temperature sensor","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d3.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d3.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d4","D4","d4","Malfunction of entry-tube temperature sensor","Черновая нормализация требуется: Malfunction of entry-tube temperature sensor","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d4.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d4.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","d6","D6","d6","Malfunction of exit-tube temperature sensor","Черновая нормализация требуется: Malfunction of exit-tube temperature sensor","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/d6.json;data/equipment-diagnostics/error-knowledge/gree/gmv-mini/indoor/d6.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","o1","O1","o1","Low-voltage protection of IDU's bus bar","Черновая нормализация требуется: Low-voltage protection of IDU's bus bar","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/o1.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
"X series","o3","O3","o3","IPM module protection of IDU","Черновая нормализация требуется: IPM module protection of IDU","indoor","gree-gmv-x-owner-manual","Owner's Manual GMV X DC Inverter VRF Units","artifacts/manual-intake/sources/gree/Owner's Manual GMV X DC Inverter VRF Units.pdf","Error Indication - Indoor Unit","PDF 70; Error Indication - Indoor Unit; owner manual note says specific unit fault and maintenance require engineering debugging and after-sales maintenance manual.","medium","yes","data/equipment-diagnostics/error-knowledge/gree/gmv6/indoor/o3.json","gree/gmv-x/indoor","gree-gmv-x-vrf-indoor-codes","needs-manual-review","Owner manual provides an error/status table row, but this inventory stage has no GMV X service or after-sales maintenance manual evidence for runtime-ready troubleshooting text."
