code,canonicalCode,displayCode,sectionNumber,sectionTitle,sourceMeaningEn,normalizedMeaningRu,equipmentSide,proposedRuntimeFolder,sourceManualId,sourceManualPath,sourceLineOrContext,alreadyInRuntime,existingRuntimePath,action,reason
L0,L0,,2.1,Malfunction list for the wired controller,Malfunction of indoor unit,неисправность of внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L1,L1,,2.1,Malfunction list for the wired controller,Indoor fan protection,Indoor fan защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L2,L2,,2.1,Malfunction list for the wired controller,E-heater protection,E-heater защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L3,L3,,2.1,Malfunction list for the wired controller,Water overflow protection,Water overfнизкое защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L4,L4,,2.1,Malfunction list for the wired controller,Power supply of wired controller is faulted,Power supply of wired controller is faulted,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L5,L5,,2.1,Malfunction list for the wired controller,Freeze prevention protection,Freeze prevention защита,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L6,L6,,2.1,Malfunction list for the wired controller,Mode shock,Mode shock,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L7,L7,,2.1,Malfunction list for the wired controller,No main indoor unit,No main внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L8,L8,,2.1,Malfunction list for the wired controller,Insufficient power supply,Insufficient power supply,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
L9,L9,,2.1,Malfunction list for the wired controller,Wrong number of indoor unit for one-to-more indoor unit,неверное значение number of внутренний блок for one-to-more внутренний блок,indoor,gmv-mini/indoor,gree-gmv-mini-service-manual,artifacts/manual-intake/sources/gree/SERVICE_MANUAL_GMV_MINI.pdf,"Malfunction list for wired controller, PDF page 81 / manual page 77",no,,add-runtime,GMV Mini service manual has an exact table row and no GMV Mini runtime card exists.
